,Cas,Drug,SMILES
183,227449-73-2,2-[(2-Aminoethyl)amino]-4-[[3-(trifluoromethyl)phenyl]amino]-5-pyrimidinecarboxamideHydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.O.O.Cl.Cl
184,227449-73-2,2-[(2-Aminoethyl)amino]-4-[[3-(trifluoromethyl)phenyl]amino]-5-pyrimidinecarboxamideHydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl
185,227449-73-2,"2-(2-Aminoethylamino)-4-(3-trifluoromethylanilino)-pyrimidine-5-carboxamide, Dihydrochloride, Dihydrate",C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl.Cl
186,227449-73-2,"2-(2-Aminoethylamino)-4-(3-trifluoromethylanilino)-pyrimidine-5-carboxamide, Dihydrochloride, Dihydrate",C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.O.O.Cl.Cl
187,227449-73-2,"2-(2-Aminoethylamino)-4-(3-trifluoromethylanilino)-pyrimidine-5-carboxamide, Dihydrochloride, Dihydrate",C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl
188,227449-73-2,"2-(2-Aminoethylamino)-4-(3-trifluoromethylanilino)-pyrimidine-5-carboxamide, Dihydrochloride, Dihydrate",C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl.Cl
189,227449-73-2,"2-(2-Aminoethylamino)-4-(3-trifluoromethylanilino)-pyrimidine-5-carboxamide, Dihydrochloride, Dihydrate",C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.O.O.Cl.Cl
190,227449-73-2,"2-(2-Aminoethylamino)-4-(3-trifluoromethylanilino)-pyrimidine-5-carboxamide, Dihydrochloride, Dihydrate",C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl
191,227449-73-2,"2-(2-Aminoethylamino)-4-(3-trifluoromethylanilino)-pyrimidine-5-carboxamide, Dihydrochloride, Dihydrate",C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl.Cl
192,227449-73-2,"2-(2-Aminoethylamino)-4-(3-trifluoromethylanilino)-pyrimidine-5-carboxamide, Dihydrochloride, Dihydrate",C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.O.O.Cl.Cl
193,227449-73-2,"2-(2-Aminoethylamino)-4-(3-trifluoromethylanilino)-pyrimidine-5-carboxamide, Dihydrochloride, Dihydrate",C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl
194,227449-73-2,Syk Inhibitor II hydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl.Cl
195,227449-73-2,Syk Inhibitor II hydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.O.O.Cl.Cl
196,227449-73-2,Syk Inhibitor II hydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl
197,227449-73-2,Syk Inhibitor II hydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl.Cl
198,227449-73-2,Syk Inhibitor II hydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.O.O.Cl.Cl
199,227449-73-2,Syk Inhibitor II hydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl
200,227449-73-2,Syk Inhibitor II hydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl.Cl
201,227449-73-2,Syk Inhibitor II hydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.O.O.Cl.Cl
202,227449-73-2,Syk Inhibitor II hydrochloride,C1=CC(=CC(=C1)NC2=NC(=NC=C2C(=O)N)NCCN)C(F)(F)F.Cl
203,165806-53-1,SB-220025,C1CNCCC1N2C=NC(=C2C3=NC(=NC=C3)N)C4=CC=C(C=C4)F
204,231277-92-2,Lapatinib,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
205,648449-76-7,AS 604850,C1=CC2=C(C=C1/C=C\3/C(=O)NC(=O)S3)OC(O2)(F)F
206,648449-76-7,AS 604850,C1=CC2=C(C=C1/C=C/3\C(=O)NC(=O)S3)OC(O2)(F)F
207,648449-76-7,AS 604850,C1=CC2=C(C=C1C=C3C(=O)NC(=O)S3)OC(O2)(F)F
208,648449-76-7,AS 604850,C1=CC2=C(C=C1/C=C\3/C(=O)NC(=O)S3)OC(O2)(F)F
209,648449-76-7,AS 604850,C1=CC2=C(C=C1/C=C/3\C(=O)NC(=O)S3)OC(O2)(F)F
210,648449-76-7,AS 604850,C1=CC2=C(C=C1C=C3C(=O)NC(=O)S3)OC(O2)(F)F
211,648449-76-7,AS 604850,C1=CC2=C(C=C1/C=C\3/C(=O)NC(=O)S3)OC(O2)(F)F
212,648449-76-7,AS 604850,C1=CC2=C(C=C1/C=C/3\C(=O)NC(=O)S3)OC(O2)(F)F
213,648449-76-7,AS 604850,C1=CC2=C(C=C1C=C3C(=O)NC(=O)S3)OC(O2)(F)F
214,648449-76-7,"5-(2,2-Difluoro-benzo[1,3]dioxol-5-ylmethylene)-thiazolidine-2,4-dione",C1=CC2=C(C=C1/C=C\3/C(=O)NC(=O)S3)OC(O2)(F)F
215,648449-76-7,"5-(2,2-Difluoro-benzo[1,3]dioxol-5-ylmethylene)-thiazolidine-2,4-dione",C1=CC2=C(C=C1/C=C/3\C(=O)NC(=O)S3)OC(O2)(F)F
216,648449-76-7,"5-(2,2-Difluoro-benzo[1,3]dioxol-5-ylmethylene)-thiazolidine-2,4-dione",C1=CC2=C(C=C1C=C3C(=O)NC(=O)S3)OC(O2)(F)F
217,648449-76-7,"5-(2,2-Difluoro-benzo[1,3]dioxol-5-ylmethylene)-thiazolidine-2,4-dione",C1=CC2=C(C=C1/C=C\3/C(=O)NC(=O)S3)OC(O2)(F)F
218,648449-76-7,"5-(2,2-Difluoro-benzo[1,3]dioxol-5-ylmethylene)-thiazolidine-2,4-dione",C1=CC2=C(C=C1/C=C/3\C(=O)NC(=O)S3)OC(O2)(F)F
219,648449-76-7,"5-(2,2-Difluoro-benzo[1,3]dioxol-5-ylmethylene)-thiazolidine-2,4-dione",C1=CC2=C(C=C1C=C3C(=O)NC(=O)S3)OC(O2)(F)F
220,648449-76-7,"5-(2,2-Difluoro-benzo[1,3]dioxol-5-ylmethylene)-thiazolidine-2,4-dione",C1=CC2=C(C=C1/C=C\3/C(=O)NC(=O)S3)OC(O2)(F)F
221,648449-76-7,"5-(2,2-Difluoro-benzo[1,3]dioxol-5-ylmethylene)-thiazolidine-2,4-dione",C1=CC2=C(C=C1/C=C/3\C(=O)NC(=O)S3)OC(O2)(F)F
222,648449-76-7,"5-(2,2-Difluoro-benzo[1,3]dioxol-5-ylmethylene)-thiazolidine-2,4-dione",C1=CC2=C(C=C1C=C3C(=O)NC(=O)S3)OC(O2)(F)F
223,648449-76-7,"5-[(2,2-Difluoro-1,3-benzodioxol-5-yl)methylene]-2,4-thiazolidinedione",C1=CC2=C(C=C1/C=C\3/C(=O)NC(=O)S3)OC(O2)(F)F
224,648449-76-7,"5-[(2,2-Difluoro-1,3-benzodioxol-5-yl)methylene]-2,4-thiazolidinedione",C1=CC2=C(C=C1/C=C/3\C(=O)NC(=O)S3)OC(O2)(F)F
225,648449-76-7,"5-[(2,2-Difluoro-1,3-benzodioxol-5-yl)methylene]-2,4-thiazolidinedione",C1=CC2=C(C=C1C=C3C(=O)NC(=O)S3)OC(O2)(F)F
226,648449-76-7,"5-[(2,2-Difluoro-1,3-benzodioxol-5-yl)methylene]-2,4-thiazolidinedione",C1=CC2=C(C=C1/C=C\3/C(=O)NC(=O)S3)OC(O2)(F)F
227,648449-76-7,"5-[(2,2-Difluoro-1,3-benzodioxol-5-yl)methylene]-2,4-thiazolidinedione",C1=CC2=C(C=C1/C=C/3\C(=O)NC(=O)S3)OC(O2)(F)F
228,648449-76-7,"5-[(2,2-Difluoro-1,3-benzodioxol-5-yl)methylene]-2,4-thiazolidinedione",C1=CC2=C(C=C1C=C3C(=O)NC(=O)S3)OC(O2)(F)F
229,648449-76-7,"5-[(2,2-Difluoro-1,3-benzodioxol-5-yl)methylene]-2,4-thiazolidinedione",C1=CC2=C(C=C1/C=C\3/C(=O)NC(=O)S3)OC(O2)(F)F
230,648449-76-7,"5-[(2,2-Difluoro-1,3-benzodioxol-5-yl)methylene]-2,4-thiazolidinedione",C1=CC2=C(C=C1/C=C/3\C(=O)NC(=O)S3)OC(O2)(F)F
231,648449-76-7,"5-[(2,2-Difluoro-1,3-benzodioxol-5-yl)methylene]-2,4-thiazolidinedione",C1=CC2=C(C=C1C=C3C(=O)NC(=O)S3)OC(O2)(F)F
232,509093-47-4,IRAK-1/4 inhibitor,C1COCCN1CCN2C3=CC=CC=C3N=C2NC(=O)C4=CC(=CC=C4)[N+](=O)[O-]
233,487021-52-3,AR-A014418,COC1=CC=C(C=C1)CNC(=O)NC2=NC=C(S2)[N+](=O)[O-]
234,854171-35-0,Indirubin E804,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N\OCCC(CO)O
235,854171-35-0,Indirubin E804,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N/OCCC(CO)O
236,854171-35-0,Indirubin E804,C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=NOCCC(CO)O
237,854171-35-0,Indirubin E804,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N\OCCC(CO)O
238,854171-35-0,Indirubin E804,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N/OCCC(CO)O
239,854171-35-0,Indirubin E804,C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=NOCCC(CO)O
240,854171-35-0,Indirubin E804,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N\OCCC(CO)O
241,854171-35-0,Indirubin E804,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N/OCCC(CO)O
242,854171-35-0,Indirubin E804,C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=NOCCC(CO)O
243,854171-35-0,Indirubin Derivative E804,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N\OCCC(CO)O
244,854171-35-0,Indirubin Derivative E804,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N/OCCC(CO)O
245,854171-35-0,Indirubin Derivative E804,C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=NOCCC(CO)O
246,854171-35-0,Indirubin Derivative E804,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N\OCCC(CO)O
247,854171-35-0,Indirubin Derivative E804,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N/OCCC(CO)O
248,854171-35-0,Indirubin Derivative E804,C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=NOCCC(CO)O
249,854171-35-0,Indirubin Derivative E804,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N\OCCC(CO)O
250,854171-35-0,Indirubin Derivative E804,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N/OCCC(CO)O
251,854171-35-0,Indirubin Derivative E804,C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=NOCCC(CO)O
252,854171-35-0,"3-[3-[(3,4-dihydroxybutoxy)imino]-1,3-dihydro-2H-indol-2-ylidene]-1,3-dihydro-2H-indol-2-one",C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N\OCCC(CO)O
253,854171-35-0,"3-[3-[(3,4-dihydroxybutoxy)imino]-1,3-dihydro-2H-indol-2-ylidene]-1,3-dihydro-2H-indol-2-one",C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N/OCCC(CO)O
254,854171-35-0,"3-[3-[(3,4-dihydroxybutoxy)imino]-1,3-dihydro-2H-indol-2-ylidene]-1,3-dihydro-2H-indol-2-one",C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=NOCCC(CO)O
255,854171-35-0,"3-[3-[(3,4-dihydroxybutoxy)imino]-1,3-dihydro-2H-indol-2-ylidene]-1,3-dihydro-2H-indol-2-one",C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N\OCCC(CO)O
256,854171-35-0,"3-[3-[(3,4-dihydroxybutoxy)imino]-1,3-dihydro-2H-indol-2-ylidene]-1,3-dihydro-2H-indol-2-one",C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N/OCCC(CO)O
257,854171-35-0,"3-[3-[(3,4-dihydroxybutoxy)imino]-1,3-dihydro-2H-indol-2-ylidene]-1,3-dihydro-2H-indol-2-one",C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=NOCCC(CO)O
258,854171-35-0,"3-[3-[(3,4-dihydroxybutoxy)imino]-1,3-dihydro-2H-indol-2-ylidene]-1,3-dihydro-2H-indol-2-one",C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N\OCCC(CO)O
259,854171-35-0,"3-[3-[(3,4-dihydroxybutoxy)imino]-1,3-dihydro-2H-indol-2-ylidene]-1,3-dihydro-2H-indol-2-one",C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N/OCCC(CO)O
260,854171-35-0,"3-[3-[(3,4-dihydroxybutoxy)imino]-1,3-dihydro-2H-indol-2-ylidene]-1,3-dihydro-2H-indol-2-one",C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=NOCCC(CO)O
261,477600-75-2,Tofacitinib,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N
262,144978-82-5,AG 112,C1=CC(=CC=C1/C=C(\C#N)/C(=C(C#N)C#N)N)O
263,144978-82-5,AG 112,C1=CC(=CC=C1C=C(C#N)C(=C(C#N)C#N)N)O
264,144978-82-5,AG 112,C1=CC(=CC=C1/C=C(/C#N)\C(=C(C#N)C#N)N)O
265,144978-82-5,AG 112,C1=CC(=CC=C1/C=C(\C#N)/C(=C(C#N)C#N)N)O
266,144978-82-5,AG 112,C1=CC(=CC=C1C=C(C#N)C(=C(C#N)C#N)N)O
267,144978-82-5,AG 112,C1=CC(=CC=C1/C=C(/C#N)\C(=C(C#N)C#N)N)O
268,144978-82-5,AG 112,C1=CC(=CC=C1/C=C(\C#N)/C(=C(C#N)C#N)N)O
269,144978-82-5,AG 112,C1=CC(=CC=C1C=C(C#N)C(=C(C#N)C#N)N)O
270,144978-82-5,AG 112,C1=CC(=CC=C1/C=C(/C#N)\C(=C(C#N)C#N)N)O
271,144978-82-5,"2-Amino-4-(4'-hydroxyphenyl)-1,1,3-tricyanobuta-1,3-diene",C1=CC(=CC=C1/C=C(\C#N)/C(=C(C#N)C#N)N)O
272,144978-82-5,"2-Amino-4-(4'-hydroxyphenyl)-1,1,3-tricyanobuta-1,3-diene",C1=CC(=CC=C1C=C(C#N)C(=C(C#N)C#N)N)O
273,144978-82-5,"2-Amino-4-(4'-hydroxyphenyl)-1,1,3-tricyanobuta-1,3-diene",C1=CC(=CC=C1/C=C(/C#N)\C(=C(C#N)C#N)N)O
274,144978-82-5,"2-Amino-4-(4'-hydroxyphenyl)-1,1,3-tricyanobuta-1,3-diene",C1=CC(=CC=C1/C=C(\C#N)/C(=C(C#N)C#N)N)O
275,144978-82-5,"2-Amino-4-(4'-hydroxyphenyl)-1,1,3-tricyanobuta-1,3-diene",C1=CC(=CC=C1C=C(C#N)C(=C(C#N)C#N)N)O
276,144978-82-5,"2-Amino-4-(4'-hydroxyphenyl)-1,1,3-tricyanobuta-1,3-diene",C1=CC(=CC=C1/C=C(/C#N)\C(=C(C#N)C#N)N)O
277,144978-82-5,"2-Amino-4-(4'-hydroxyphenyl)-1,1,3-tricyanobuta-1,3-diene",C1=CC(=CC=C1/C=C(\C#N)/C(=C(C#N)C#N)N)O
278,144978-82-5,"2-Amino-4-(4'-hydroxyphenyl)-1,1,3-tricyanobuta-1,3-diene",C1=CC(=CC=C1C=C(C#N)C(=C(C#N)C#N)N)O
279,144978-82-5,"2-Amino-4-(4'-hydroxyphenyl)-1,1,3-tricyanobuta-1,3-diene",C1=CC(=CC=C1/C=C(/C#N)\C(=C(C#N)C#N)N)O
280,144978-82-5,"(3E)-2-amino-4-(4-hydroxyphenyl)buta-1,3-diene-1,1,3-tricarbonitrile",C1=CC(=CC=C1/C=C(\C#N)/C(=C(C#N)C#N)N)O
281,144978-82-5,"(3E)-2-amino-4-(4-hydroxyphenyl)buta-1,3-diene-1,1,3-tricarbonitrile",C1=CC(=CC=C1C=C(C#N)C(=C(C#N)C#N)N)O
282,144978-82-5,"(3E)-2-amino-4-(4-hydroxyphenyl)buta-1,3-diene-1,1,3-tricarbonitrile",C1=CC(=CC=C1/C=C(/C#N)\C(=C(C#N)C#N)N)O
283,144978-82-5,"(3E)-2-amino-4-(4-hydroxyphenyl)buta-1,3-diene-1,1,3-tricarbonitrile",C1=CC(=CC=C1/C=C(\C#N)/C(=C(C#N)C#N)N)O
284,144978-82-5,"(3E)-2-amino-4-(4-hydroxyphenyl)buta-1,3-diene-1,1,3-tricarbonitrile",C1=CC(=CC=C1C=C(C#N)C(=C(C#N)C#N)N)O
285,144978-82-5,"(3E)-2-amino-4-(4-hydroxyphenyl)buta-1,3-diene-1,1,3-tricarbonitrile",C1=CC(=CC=C1/C=C(/C#N)\C(=C(C#N)C#N)N)O
286,144978-82-5,"(3E)-2-amino-4-(4-hydroxyphenyl)buta-1,3-diene-1,1,3-tricarbonitrile",C1=CC(=CC=C1/C=C(\C#N)/C(=C(C#N)C#N)N)O
287,144978-82-5,"(3E)-2-amino-4-(4-hydroxyphenyl)buta-1,3-diene-1,1,3-tricarbonitrile",C1=CC(=CC=C1C=C(C#N)C(=C(C#N)C#N)N)O
288,144978-82-5,"(3E)-2-amino-4-(4-hydroxyphenyl)buta-1,3-diene-1,1,3-tricarbonitrile",C1=CC(=CC=C1/C=C(/C#N)\C(=C(C#N)C#N)N)O
289,129-56-6,"anthra(1,9-cd)pyrazol-6(2H)-one",C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O
290,622387-85-3,Oxsi-2,CN1C=C(C2=CC=CC=C21)/C=C\3/C4=C(C=CC(=C4)S(=O)(=O)N)NC3=O
291,444731-52-6,Pazopanib,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N
292,790299-79-5,Masitinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5
293,120166-69-0,Diacylglycerol Kinase Inhibitor Ii,C1CN(CCC1=C(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)CCN4C(=O)C5=CC=CC=C5NC4=S
294,297744-42-4,MEK inhibitor I,C1=CC=C(C(=C1)N)S/C(=C(\C#N)/C2=CC=CC(=C2)C(C3=CC=NC=C3)O)/N
295,881001-19-0,EGFR/ErbB-2/ErbB-4 inhibitor,CC#CC(=O)NC1=NC=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl
296,212844-53-6,Purvalanol A,CC(C)[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=CC=C3)Cl
297,778270-11-4,Gnf-2,C1=CC(=CC(=C1)C(=O)N)C2=CC(=NC=N2)NC3=CC=C(C=C3)OC(F)(F)F
298,404009-40-1,1-(2-Hydroxy-4-morpholin-4-ylphenyl)ethanone,CC(=O)C1=C(C=C(C=C1)N2CCOCC2)O
299,879127-07-8,EGFR inhibitor,C1CC1C(=O)NC2=CC=CC(=C2)NC3=NC=NC(=C3)NC4=CC=CC(=C4)C(F)(F)F
300,327036-89-5,Tdzd-8,CN1C(=O)N(C(=O)S1)CC2=CC=CC=C2
301,284461-73-0,Sorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
302,894804-07-0,JNK Inhibitor VIII,CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N
303,3895-92-9,"Chelerythrine, chloride",C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5.[Cl-]
304,516480-79-8,2-(4-(4-chlorophenoxy)phenyl)-1H-benzimidazole-5-carboxamide,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C(=O)N)OC4=CC=C(C=C4)Cl
305,212141-51-0,Vatalanib dihydrochloride,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4.Cl.Cl
306,160807-49-8,Indirubin-3'-monoxime,C1=CC=C2C(=C1)C(=C(N2)O)C3=C(C4=CC=CC=C4N3)N=O
307,784211-09-2,Rgb-286147,CC(C)C1=NN(C2=C1C(=O)NC(=N2)CC3=CC=C(C=C3)OCCO)C4=C(C=CC=C4Cl)Cl
308,396129-53-6,Ly-364947,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4
309,142273-20-9,Kenpaullone,C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br
310,237430-03-4,Alsterpaullone,C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-]
311,301305-73-7,Flt-3 inhibitor,COC1=C(C=C(C=C1)C(=O)NC2=C(C3=C(S2)CCCC3)C(=O)N)OC
312,286370-15-8,Krn-633,CCCNC(=O)NC1=C(C=C(C=C1)OC2=NC=NC3=CC(=C(C=C32)OC)OC)Cl
313,189232-42-6,Bohemine,CC(C)N1C=NC2=C(N=C(N=C21)NCCCO)NCC3=CC=CC=C3
314,496864-15-4,"7-butyl-6-(4-methoxyphenyl)-5H-pyrrolo[2,3-b]pyrazine",CCCCC1=C(NC2=NC=CN=C12)C3=CC=C(C=C3)OC
315,745833-23-2,Vx-702,C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F
316,666837-93-0,SU 9516,COC1=CC\2=C(C=C1)NC(=O)/C2=C\C3=CN=CN3
317,925681-41-0,"4-(2-Chloro-10H-phenoxazin-10-yl)-N,N-diethylbutan-1-amine--hydrogen chloride (1/1)",CCN(CC)CCCCN1C2=CC=CC=C2OC3=C1C=C(C=C3)Cl.Cl
318,213743-31-8,"7-Cyclopentyl-5-(4-phenoxy)phenyl-7H-pyrrolo(2,3-d)pyrimidin-4-ylamine",C1CCC(C1)N2C=C(C3=C(N=CN=C32)N)C4=CC=C(C=C4)OC5=CC=CC=C5
319,366017-09-6,Mubritinib,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)/C=C/C4=CC=C(C=C4)C(F)(F)F
320,457081-03-7,Pyridone 6,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O
321,127191-97-3,4-((2S)-2-((5-Isoquinolinylsulfonyl)methylamino)-3-oxo-3-(4-phenyl-1-piperazinyl)propyl)phenyl 5-isoquinolinesulfonate,CN([C@@H](CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7
322,347155-76-4,Ki-11502,CC1=CC=CC=C1C(=O)NC(=S)NC2=CC=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC
323,152121-30-7,Sb-202190,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O
324,623163-52-0,MEK inhibitor II,C1CC(=O)N(C1=O)C2=C(C(=O)C3=CC=CC=C3C2=O)Cl
325,40254-90-8,"1H-Pyrazolo[3,4-b]quinoxalin-3-amine",C1=CC2=NC3=C(NN=C3N=C2C=C1)N
326,641571-10-0,Nilotinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
327,740841-15-0,Indirubin deriv. 8a,CC(=O)O/N=C/1\C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
328,740841-15-0,Indirubin deriv. 8a,CC(=O)ON=C1C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
329,740841-15-0,Indirubin deriv. 8a,CC(=O)O/N=C\1/C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
330,740841-15-0,Indirubin deriv. 8a,CC(=O)O/N=C/1\C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
331,740841-15-0,Indirubin deriv. 8a,CC(=O)ON=C1C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
332,740841-15-0,Indirubin deriv. 8a,CC(=O)O/N=C\1/C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
333,740841-15-0,Indirubin deriv. 8a,CC(=O)O/N=C/1\C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
334,740841-15-0,Indirubin deriv. 8a,CC(=O)ON=C1C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
335,740841-15-0,Indirubin deriv. 8a,CC(=O)O/N=C\1/C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
336,740841-15-0,GSK-3 Inhibitor X,CC(=O)O/N=C/1\C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
337,740841-15-0,GSK-3 Inhibitor X,CC(=O)ON=C1C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
338,740841-15-0,GSK-3 Inhibitor X,CC(=O)O/N=C\1/C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
339,740841-15-0,GSK-3 Inhibitor X,CC(=O)O/N=C/1\C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
340,740841-15-0,GSK-3 Inhibitor X,CC(=O)ON=C1C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
341,740841-15-0,GSK-3 Inhibitor X,CC(=O)O/N=C\1/C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
342,740841-15-0,GSK-3 Inhibitor X,CC(=O)O/N=C/1\C2=CC=CC=C2N=C1C3=C(NC4=C3C=CC(=C4)Br)O
