,Cas,Drug,SMILES
68,913844-45-8,Glycyl-H 1152 dihydrochloride,C[C@H]1CN(CCCN1S(=O)(=O)C2=CC=CC3=C2C(=CN=C3)C)C(=O)CN
69,913844-45-8,glycyl-H 1152,C[C@H]1CN(CCCN1S(=O)(=O)C2=CC=CC3=C2C(=CN=C3)C)C(=O)CN.Cl.Cl
70,913844-45-8,glycyl-H 1152,C[C@H]1CN(CCCN1S(=O)(=O)C2=CC=CC3=C2C(=CN=C3)C)C(=O)CN
71,913844-45-8,glycyl-H 1152,C[C@H]1CN(CCCN1S(=O)(=O)C2=CC=CC3=C2C(=CN=C3)C)C(=O)CN.Cl.Cl
72,913844-45-8,glycyl-H 1152,C[C@H]1CN(CCCN1S(=O)(=O)C2=CC=CC3=C2C(=CN=C3)C)C(=O)CN
73,15966-93-5,Vegf receptor 2 kinase inhibitor I,CCOC(=O)C1=C(NC(=C1C)/C=C\2/C3=CC=CC=C3NC2=O)C
74,216661-57-3,"6-(4-Methoxyphenyl)-3-(3-thienyl)-pyrazolo(1,5-a)pyrimidine",COC1=CC=C(C=C1)C2=CN3C(=C(C=N3)C4=CSC=C4)N=C2
75,136194-77-9,"12-(2-cyanoethyl)-6,7,12,13-tetrahydro-13-methyl-5-oxo-5H-indolo(2,3-a)pyrrolo(3,4-c)carbazole",CN1C2=CC=CC=C2C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CCC#N)CNC4=O
76,587871-26-9,KU-55933,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4
77,205254-94-0,PDGF Receptor Tyrosine Kinase Inhibitor III,COC1=C(C=C2C(=C1)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CC=C(C=C4)OC5=CC=CC=C5)OC
78,581098-48-8,4-[5-(4-fluorophenyl)-2-(methylthio)-1H-imidazol-4-yl]-N-[(1S)-1-phenylethyl]-2-pyridinamine,C[C@@H](C1=CC=CC=C1)NC2=NC=CC(=C2)C3=C(NC(=N3)SC)C4=CC=C(C=C4)F
79,19542-67-7,(2E)-3-(4-methylbenzenesulfonyl)prop-2-enenitrile,CC1=CC=C(C=C1)S(=O)(=O)/C=C/C#N
80,1485-00-3,"3,4-Methylenedioxy-beta-nitrostyrene",C1OC2=C(O1)C=C(C=C2)/C=C/[N+](=O)[O-]
81,345616-52-6,1-nitro-2-[(E)-[5-(4-nitrophenyl)furan-2-yl]methylideneamino]guanidine,C1=CC(=CC=C1C2=CC=C(O2)/C=N/N=C(\N)/N[N+](=O)[O-])[N+](=O)[O-]
82,146986-50-7,Ximelegatran,C[C@H](C1CCC(CC1)C(=O)NC2=CC=NC=C2)N
83,135897-06-2,SB 218078,C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C1O2)C7=C53)C(=O)NC6=O
84,171179-06-9,Pd 158780,CNC1=NC=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br
85,5812-07-7,3-(4-Dimethylaminobenzylidenyl)-2-indolinone,CN(C)C1=CC=C(C=C1)C=C2C3=CC=CC=C3NC2=O
86,305350-87-2,alpha-(Amino((4-aminophenyl)thio)methylene)-2-(trifluoromethyl)benzeneacetonitrile,C1=CC=C(C(=C1)C(=C(N)SC2=CC=C(C=C2)N)C#N)C(F)(F)F
87,204005-46-9,Semaxinib,CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C
88,443797-96-4,Jnj-7706621,C1=CC(=C(C(=C1)F)C(=O)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F
89,405169-16-6,Dovitinib,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=C(C5=C(C=CC=C5F)NC4=O)N
90,133052-90-1,"3-(1-(3-(Dimethylamino)propyl)-1H-indol-3-yl)-4-(1H-indol-3-yl)-1H-pyrrole-2,5-dione",CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
91,404009-46-7,DNA-PK inhibitor V,C1COCCN1C2=CC(=C(C=C2)C(=O)C3=CC=CC=C3)O
92,226717-28-8,Agl 2043,CC1=NC2=C(N1C)C=C3C(=C2)N=C(C=N3)C4=CC=CS4
93,301836-43-1,"4-(4-(2,3-dihydrobenzo(1,4)dioxin-6-yl)-5-pyridin-2-yl-1H-imidazol-2-yl)benzamide",C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5
94,5334-30-5,"4-Amino-1-phenylpyrazolo(3,4-d)pyrimidine",C1=CC=C(C=C1)N2C3=NC=NC(=C3C=N2)N
95,318480-82-9,SC-68376,CC1=NC(=C(O1)C2=CC=NC=C2)C3=CC=CC=C3
96,127243-85-0,protein kinase inhibitor H89,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC/C=C/C3=CC=C(C=C3)Br
97,127243-85-0,protein kinase inhibitor H89,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC/C=C/C3=CC=C(C=C3)Br.Cl.Cl
