,compound,gene,db,ctd,SMILES,n_db
0,"((e)-n-4-(1,2,3,4-tetrahydroisoquinolin-2-yl)butyl)-3-phenylacrylamide",DRD3,False,True,C1CN(CC2=CC=CC=C21)CCCCNC(=O)/C=C/C3=CC=CC=C3,1
1,(+)-2-(4-biphenyl)propionicAcid,PTGS1,True,False,C[C@H](C(O)=O)C1=CC=C(C=C1)C1=CC=CC=C1,1
2,(+)-rutamarinAlcohol,GAPDHS,True,False,CC(C)(O)[C@@H]1CC2=C(O1)C=C1OC(=O)C(=CC1=C2)C(C)(C)C=C,1
3,(+)-rutamarinAlcohol,,True,False,CC(C)(O)[C@@H]1CC2=C(O1)C=C1OC(=O)C(=CC1=C2)C(C)(C)C=C,1
4,"(1'r,2's)-9-(2-hydroxy-3'-keto-cyclopenten-1-yl)adenine",AHCY,True,False,NC1=NC=NC2=C1N=CN2[C@@H]1C=C[C@H](O)[C@H]1O,1
5,"(1-(2-morpholin-4-yl-ethyl)-1h-indol-3-yl)-(2,2,3,3-tetramethylcyclopropyl)methanone",CNR1,False,True,CC1(C(C1(C)C)C(=O)C2=CN(C3=CC=CC=C32)CCN4CCOCC4)C,1
6,"(1-(2-morpholin-4-yl-ethyl)-1h-indol-3-yl)-(2,2,3,3-tetramethylcyclopropyl)methanone",CNR2,False,True,CC1(C(C1(C)C)C(=O)C2=CN(C3=CC=CC=C32)CCN4CCOCC4)C,1
7,"(1-(2-morpholin-4-yl-ethyl)-1h-indol-3-yl)-(2,2,3,3-tetramethylcyclopropyl)methanone",GPR55,False,True,CC1(C(C1(C)C)C(=O)C2=CN(C3=CC=CC=C32)CCN4CCOCC4)C,1
8,(1-benzyl-5-methoxy-2-methyl-1h-indol-3-yl)aceticAcid,PLA2G2A,True,False,COC1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(C)=C2CC(O)=O,1
9,"(1-hydroxy-1-phosphono-2-[1,1';4',1'']terphenyl-3-yl-ethyl)-phosphonicAcid",ISPU,True,False,OC(CC1=CC=CC(=C1)C1=CC=C(C=C1)C1=CC=CC=C1)(P(O)(O)=O)P(O)(O)=O,1
10,"(1-hydroxyheptane-1,1-diyl)bis(phosphonicAcid)",GGPS1,True,False,CCCCCCC(O)(P(O)(O)=O)P(O)(O)=O,1
11,"(1-hydroxynonane-1,1-diyl)bis(phosphonicAcid)",GGPS1,True,False,CCCCCCCCC(O)(P(O)(O)=O)P(O)(O)=O,1
12,(1-methyl-1h-imidazol-2-yl)-(3-methyl-4-{3-[(pyridin-3-ylmethyl)-amino]-propoxy}-benzofuran-2-yl)-methanone,NMT1,True,False,CN1C=CN=C1C(=O)C1=C(C)C2=C(O1)C=CC=C2OCCCNCC1=CN=CC=C1,1
13,"(1-pentyl-1h-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",CNR1,False,True,CCCCCN1C=C(C2=CC=CC=C21)C(=O)C3C(C3(C)C)(C)C,1
14,"(1-pentyl-1h-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",CNR2,False,True,CCCCCN1C=C(C2=CC=CC=C21)C(=O)C3C(C3(C)C)(C)C,1
15,"(1-pentyl-1h-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",GPR55,False,True,CCCCCN1C=C(C2=CC=CC=C21)C(=O)C3C(C3(C)C)(C)C,1
16,"(10e,12z)-octadecadienoicAcid",,True,False,CCCCC\C=C/C=C/CCCCCCCCC(O)=O,1
17,"(10r)-10-formyl-5,8,10-trideazafolicAcid",PURN,True,False,[H]N([H])C1=NC(=O)C2=C(C=CC(C[C@@H](C(O)=O)C3=CC=C(C=C3)C(=O)N([H])[C@@H](CCC(O)=O)C(O)=O)=C2)N1[H],1
18,"(10r)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8h-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one",MAPKAPK2,True,False,[H][C@@]1(C)CNC2=C(SC3=C2C2=C(C=C3)N=C(C=C2)C2=CN=C(C)C=C2)C(=O)N1,1
19,"(11r)-10-acetyl-11-(2,4-dichlorophenyl)-6-hydroxy-3,3-dimethyl-2,3,4,5,10,11-hexahydro-1h-dibenzo[b,e][1,4]diazepin-1-one",,True,False,[H][C@]1(N(C(C)=O)C2=CC=CC(O)=C2NC2=C1C(=O)CC(C)(C)C2)C1=C(Cl)C=C(Cl)C=C1,1
20,"(11s)-8-chloro-11-[1-(methylsulfonyl)piperidin-4-yl]-6-piperazin-1-yl-11h-benzo[5,6]cyclohepta[1,2-b]pyridine",FNTA,True,False,[H][C@]1(C2CCN(CC2)S(C)(=O)=O)C2=C(C=C(Cl)C=C2)C(=CC2=C1N=CC=C2)N1CCNCC1,1
21,"(11s)-8-chloro-11-[1-(methylsulfonyl)piperidin-4-yl]-6-piperazin-1-yl-11h-benzo[5,6]cyclohepta[1,2-b]pyridine",FNTB,True,False,[H][C@]1(C2CCN(CC2)S(C)(=O)=O)C2=C(C=C(Cl)C=C2)C(=CC2=C1N=CC=C2)N1CCNCC1,1
22,"(13r,15s)-13-methyl-16-oxa-8,9,12,22,24-pentaazahexacyclo[15.6.2.16,9.1,12,15.0,2,7.0,21,25]heptacosa-1(24),2,4,6,17(25),18,20-heptaene-23,26-dione",CDK2,True,False,[H][C@]12CN(CCN3NC4=C(C=CC=C4C3=O)C3=NC4=C(NC3=O)C=CC=C4O1)[C@]([H])(C)C2,1
23,"(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-ylSulfamate",CA2,True,False,[H][C@]1(CC#N)CC[C@@]2([H])[C@]3([H])CCC4=CC(OS(N)(=O)=O)=C(OC)C=C4[C@@]3([H])CC[C@]12C,1
24,"(1e)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1h-pyrazol-4-yl)-2,3-dihydro-1h-inden-1-oneOxime",BRAF,True,False,O\N=C1/CCC2=CC(=CC=C12)C1=CN(N=C1C1=CC=NC=C1)C1CCNCC1,1
25,(1h-indol-3-yl)-(2-mercapto-ethoxyimino)-aceticAcid,IL2,True,False,[H][C@](NOCCS)(C(O)=O)C1=CNC2=C1C=CC=C2,1
26,(1n)-4-n-butoxyphenylsulfonyl-(2r)-n-hydroxycarboxamido-(4s)-methanesulfonylamino-pyrrolidine,MMP3,True,False,CCCCOC1=CC=C(C=C1)S(=O)(=O)N1C[C@H](C[C@@H]1C(=O)NO)NS(C)(=O)=O,1
27,"(1r)-1,2,2-trimethylpropyl(r)-methylphosphinate",CES1,True,False,[H][C@](C)(O[P@]([H])(C)=O)C(C)(C)C,1
28,"(1r)-1,2,2-trimethylpropyl(r)-methylphosphinate",PAFAH1B3,True,False,[H][C@](C)(O[P@]([H])(C)=O)C(C)(C)C,1
29,"(1r)-1,2,2-trimethylpropyl(r)-methylphosphinate",PLA2G7,True,False,[H][C@](C)(O[P@]([H])(C)=O)C(C)(C)C,1
30,(1r)-1-(2-thienylacetylamino)-1-phenylmethylboronicAcid,AMPC,True,False,[H][C@@](NC(=O)CC1=CC=CS1)(B(O)O)C1=CC=CC=C1,1
31,"(1r)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonicAcid",MMP8,True,False,COC1=CC=C(C=C1)C1=CC=C(C=C1)S(=O)(=O)N[C@@H](C(C)C)P(O)(O)=O,1
32,(1r)-2-[(cyanomethyl)amino]-1-({[2-(difluoromethoxy)benzyl]sulfonyl}methyl)-2-oxoethylMorpholine-4-carboxylate,CTSS,True,False,[H][C@@](CS(=O)(=O)CC1=C(OC(F)F)C=CC=C1)(OC(=O)N1CCOCC1)C(=O)NCC#N,1
33,"(1r)-2-[(diaminomethylene)amino]-1-{4-[(4r)-4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl]phenyl}ethylNicotinate",F11,True,False,[H]N([H])C(=NC[C@H](OC(=O)C1=CN=CC=C1)C1=CC=C(C=C1)B1OC[C@@H](CO)O1)N([H])[H],1
34,(1r)-2-amino-1-[3-(trifluoromethyl)phenyl]ethanol,PNMT,True,False,[H][C@](O)(CN)C1=CC=CC(=C1)C(F)(F)F,1
35,(1r)-2-phenylacetamido-2-(3-carboxyphenyl)ethylBoronicAcid,BLA,True,False,[H][C@@](CC1=CC=CC(=C1)C(O)=O)(NC(=O)CC1=CC=CC=C1)B(O)O,1
36,(1r)-3-chloro-1-phenylpropan-1-ol,E,True,False,[H][C@@](O)(CCCl)C1=CC=CC=C1,1
37,(1r)-4-(3-phenoxyphenyl)-1-phosphonobutane-1-sulfonicAcid,CRTM,True,False,[H][C@@](CCCC1=CC=CC(OC2=CC=CC=C2)=C1)(P(O)(O)=O)S(O)(=O)=O,1
38,"(1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-hydroxy-3,7,12,16-tetramethylheptadeca-1,3,5,7,9,11,13,15-octaen-1-yl]-3,5,5-trimethylcyclohex-3-en-1-ol",,True,False,OC\C(C)=C\C=C\C(\C)=C/C=C/C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C,1
39,(1r)-menthylHexylPhosphonateGroup,BCHE,True,False,CCCCCCP(O)(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C,1
40,"(1r)-n,6-dihydroxy-7-methoxy-2-[(4-methoxyphenyl)sulfonyl]-1,2,3,4-tetrahydroisoquinoline-1-carboxamide",MMP7,True,False,[H][C@]1(N(CCC2=CC(O)=C(OC)C=C12)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,1
41,"(1r,2r)-n-(2-aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide",CTSK,True,False,[H][C@@]1(CS(=O)(=O)C2=CC=C(OC)C=C2)CCCC[C@@]1([H])C(=O)NCCN,1
42,"(1r,2r,3s,4r,6s)-3,4,6-trihydroxy-5-{[(s)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediylBis[dihydrogen(phosphate)]",TUB,True,False,OCC(=O)COP(O)(=O)OC1[C@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O,1
43,"(1r,2s)-2-(5-thioxo-4,5-dihydro-1h-1,2,4-triazol-3-yl)cyclohexanecarboxylicAcid",AMPC,True,False,[H][C@]1(CCCC[C@]1([H])C1=NNC(=S)N1)C(O)=O,1
44,"(1r,2s)-2-phenylcyclopropanaminium",PRSS1,True,False,[NH3+][C@@H]1C[C@H]1C1=CC=CC=C1,1
45,"(1r,2s)-cis1,2Dihydroxy-1,2-dihydronaphthalene",NDOB,True,False,[H][C@]1(O)C=CC2=C(C=CC=C2)[C@@]1([H])O,1
46,"(1r,2s)-cis1,2Dihydroxy-1,2-dihydronaphthalene",NDOC,True,False,[H][C@]1(O)C=CC2=C(C=CC=C2)[C@@]1([H])O,1
47,"(1r,3r)-5-[(2e)-3-{(1s,3r)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol",NCOA1,True,False,[H][C@]1(CC[C@](C)(CCC#CC(O)(C(F)(F)F)C(F)(F)F)C1(C)C)\C=C\C=C1C[C@](O)([H])C[C@@](O)([H])C1,1
48,"(1r,3r)-5-[(2e)-3-{(1s,3r)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol",VDR,True,False,[H][C@]1(CC[C@](C)(CCC#CC(O)(C(F)(F)F)C(F)(F)F)C1(C)C)\C=C\C=C1C[C@](O)([H])C[C@@](O)([H])C1,1
49,"(1r,4s,7as)-1-(1-formylprop-1-en-1-yl)-4-methoxy-2,4,5,6,7,7a-hexahydro-1h-isoindole-3-carboxylicAcid",AMPC,True,False,[H][C@]1(NC(C(O)=O)=C2[C@]1([H])CCC[C@]2([H])OC)C(=C/C)\C=O,1
50,"(1r-(exo,exo))-3-(4-fluorophenyl)-8-methyl-8-Azabicyclo(3.2.1)octane-2-carboxylicAcid,MethylEster",SLC6A3,False,True,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)C3=CC=C(C=C3)F)C(=O)OC,1
51,"(1s)-1,2,3,4-tetrahydro-benzo[c]phenanthrene-2,3,4-triol",POLB,True,False,[H][C@@]1(O)CC2=C(C=CC3=C2C2=C(C=CC=C2)C=C3)[C@@]([H])(O)[C@]1([H])O,1
52,"(1s)-1-(1h-indol-3-ylmethyl)-2-(2-pyridin-4-yl-[1,7]naphtyridin-5-yloxy)-ehylamine",PKIA,True,False,[H][C@@](N)(COC1=C2C=CC(=NC2=CN=C1)C1=CC=NC=C1)CC1=CNC2=C1C=CC=C2,1
53,"(1s)-1-(1h-indol-3-ylmethyl)-2-(2-pyridin-4-yl-[1,7]naphtyridin-5-yloxy)-ehylamine",PRKACA,True,False,[H][C@@](N)(COC1=C2C=CC(=NC2=CN=C1)C1=CC=NC=C1)CC1=CNC2=C1C=CC=C2,1
54,"(1s)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethylAcetate",CASP3,True,False,[H][C@@](OC(C)=O)(C(=O)NC1=CC=CC2=C1C(=O)C(=O)NC2=O)C1=CC=CC(Cl)=C1,1
55,(1s)-1-(phenoxymethyl)propylMethylphosphonochloridoate,LIPA,True,False,[H][C@](CC)(COC1=CC=CC=C1)O[P@](C)(Cl)=O,1
56,(1s)-1-amino-2-(1h-indol-3-yl)ethanol,AAUA,True,False,[H][C@](N)(O)CC1=CNC2=CC=CC=C12,1
57,(1s)-1-amino-2-(1h-indol-3-yl)ethanol,AAUB,True,False,[H][C@](N)(O)CC1=CNC2=CC=CC=C12,1
58,"(1s)-1-cyclopropyl-2-[(2s)-4-(2,5-difluorophenyl)-2-phenyl-2,5-dihydro-1h-pyrrol-1-yl]-2-oxoethanamine",KIF11,True,False,[H][C@](N)(C1CC1)C(=O)N1CC(=C[C@@]1([H])C1=CC=CC=C1)C1=CC(F)=CC=C1F,1
59,(1s)-1-phenylethyl(4-acetamidobenzyl)phosphonate,,True,False,[H]N(C(C)=O)C1=CC=C(CP([O-])(=O)O[C@@H](C)C2=CC=CC=C2)C=C1,1
60,"(1s)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonicAcid",MMP8,True,False,COC1=CC=C(C=C1)C1=CC=C(C=C1)S(=O)(=O)N[C@H](C(C)C)P(O)(O)=O,1
61,(1s)-2-(1h-indol-3-yl)-1-[({5-[(e)-2-pyridin-4-ylvinyl]pyridin-3-yl}oxy)methyl]ethylamine,PKIA,True,False,[H][C@@](N)(COC1=CN=CC(\C=C\C2=CC=NC=C2)=C1)CC1=CNC2=C1C=CC=C2,1
62,(1s)-2-(1h-indol-3-yl)-1-[({5-[(e)-2-pyridin-4-ylvinyl]pyridin-3-yl}oxy)methyl]ethylamine,PRKACA,True,False,[H][C@@](N)(COC1=CN=CC(\C=C\C2=CC=NC=C2)=C1)CC1=CNC2=C1C=CC=C2,1
63,"(1s)-2-[(2s,5r)-2-(aminomethyl)-5-ethynylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine",DPP4,True,False,[H][C@](N)(C1CCCC1)C(=O)N1[C@]([H])(CN)CC[C@]1([H])C#C,1
64,"(1s)-2-[(2s,5r)-2-(aminomethyl)-5-prop-1-yn-1-ylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine",DPP4,True,False,[H][C@](N)(C1CCCC1)C(=O)N1[C@]([H])(CN)CC[C@]1([H])C#CC,1
65,"(1s)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethylAcetate",CASP3,True,False,[H][C@@](OC(C)=O)(C(=O)NC1=CC=CC2=C1C(=O)C(=O)NC2=O)C1=CC=CC=C1,1
66,"(1s)-2-{[{[(2s)-2,3-dihydroxypropyl]oxy}(hydroxy)phosphoryl]oxy}-1-[(pentanoyloxy)methyl]ethylOctanoate",AQPZ,True,False,[H][C@](O)(CO)CO[P@@]([O-])(=O)OC[C@@]([H])(COC(=O)CCCC)OC(=O)CCCCCCC,1
67,"(1s)-2-{[{[(2s)-2,3-dihydroxypropyl]oxy}(hydroxy)phosphoryl]oxy}-1-[(pentanoyloxy)methyl]ethylOctanoate",NARG,True,False,[H][C@](O)(CO)CO[P@@]([O-])(=O)OC[C@@]([H])(COC(=O)CCCC)OC(=O)CCCCCCC,1
68,"(1s)-2-{[{[(2s)-2,3-dihydroxypropyl]oxy}(hydroxy)phosphoryl]oxy}-1-[(pentanoyloxy)methyl]ethylOctanoate",NARH,True,False,[H][C@](O)(CO)CO[P@@]([O-])(=O)OC[C@@]([H])(COC(=O)CCCC)OC(=O)CCCCCCC,1
69,"(1s)-2-{[{[(2s)-2,3-dihydroxypropyl]oxy}(hydroxy)phosphoryl]oxy}-1-[(pentanoyloxy)methyl]ethylOctanoate",NARI,True,False,[H][C@](O)(CO)CO[P@@]([O-])(=O)OC[C@@]([H])(COC(=O)CCCC)OC(=O)CCCCCCC,1
70,(1s)-menthylHexylPhosphonateGroup,BCHE,True,False,CCCCCCP(O)(=O)O[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,1
71,"(1s,2r)-2-[(2,5-difluorophenyl)carbamoyl]cyclopropanecarboxylicAcid",BLACTX-M-9A,True,False,[H][C@@]1(C[C@@]1([H])C(=O)NC1=CC(F)=CC=C1F)C(O)=O,1
72,"(1s,2r,3s,4r,5r)-2,3,4-trihydroxy-n-octyl-6-oxa-8-azabicyclo[3.2.1]octane-8-carbothioamide",BGLA,True,False,[H][C@@]12CO[C@@]([H])(N1C(=S)NCCCCCCCC)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O,1
73,"(1s,2r,5s)-5-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8h)-yl]-2-(2,4,5-trifluorophenyl)cyclohexanamine",DPP4,True,False,[H][C@@]1(CC[C@]([H])(C2=C(F)C=C(F)C(F)=C2)[C@@]([H])(N)C1)N1CCN2C(C1)=NN=C2C(F)(F)F,1
74,"(1s,2s,3r,4s,5s)-2,3,4-trihydroxy-5-(hydroxymethyl)cyclohexyl(1e)-2-phenyl-n-(sulfooxy)ethanimidothioate",LCT,True,False,OC[C@H]1C[C@@H](S\C(=N/OS(O)(=O)=O)CC2=CC=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O,1
75,"(1s,2s,3r,6r)-4-(hydroxymethyl)-6-(octylamino)cyclohex-4-ene-1,2,3-triol",MAN2A1,True,False,[H][C@@]1(O)C(CO)=C[C@@]([H])(NCCCCCCCC)[C@]([H])(O)[C@@]1([H])O,1
76,"(1s,2s,5s)2-(4-glutaridylbenzyl)-5-phenyl-1-cyclohexanol",IGHG1,True,False,[H][C@]1(O)C[C@]([H])(CC[C@]1([H])C1=CC=C(C=C1)C(=O)NCCCC(O)=O)C1=CC=CC=C1,1
77,"(1s,2s,5s)2-(4-glutaridylbenzyl)-5-phenyl-1-cyclohexanol",IGKC,True,False,[H][C@]1(O)C[C@]([H])(CC[C@]1([H])C1=CC=C(C=C1)C(=O)NCCCC(O)=O)C1=CC=CC=C1,1
78,"(1s,2s,5s)2-(4-glutaridylbenzyl)-5-phenyl-1-cyclohexanol",,True,False,[H][C@]1(O)C[C@]([H])(CC[C@]1([H])C1=CC=C(C=C1)C(=O)NCCCC(O)=O)C1=CC=CC=C1,1
79,"(1s,3as,5ar,8as)-1,7,7-trimethyl-1,2,3,3a,5a,6,7,8-octahydrocyclopenta[c]pentalene-4-carboxylicAcid",PTLH,True,False,[H][C@]1(C)CC[C@]2([H])C(=C[C@@]3([H])CC(C)(C)C[C@@]123)C(O)=O,1
80,"(1s,3r,4s,5s,7s)-4-{[2-(4-methoxyphenoxy)-2-methylpropanoyl]amino}adamantane-1-carboxamide",HSD11B1,True,False,[H][C@@]12C[C@@]3([H])C[C@@](C1)(C[C@@]([H])(C2)[C@@]3([H])NC(=O)C(C)(C)OC1=CC=C(OC)C=C1)C(N)=O,1
81,"(1s,3r,6s)-4-oxo-6-{4-[(2-phenylquinolin-4-yl)methoxy]phenyl}-5-azaspiro[2.4]heptane-1-carboxylicAcid",ADAM17,True,False,[H][C@@]1(C[C@@]11C[C@]([H])(NC1=O)C1=CC=C(OCC2=CC(=NC3=C2C=CC=C3)C2=CC=CC=C2)C=C1)C(O)=O,1
82,"(1s,3s,5s)-2-{(2s)-2-amino-2-[(1r,3s,5r,7s)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",DPP4,True,False,[H][C@@](N)(C(=O)N1[C@@]2([H])C[C@@]2([H])C[C@@]1([H])C#N)[C@]12C[C@@]3([H])C[C@]([H])(C[C@](O)(C3)C1)C2,1
83,"(1s,4r,7ar)-4-butoxy-1-[(1r)-1-formylpropyl]-2,4,5,6,7,7a-hexahydro-1h-isoindole-3-carboxylicAcid",AMPC,True,False,[H][C@](CC)(C=O)[C@@]1([H])NC(C(O)=O)=C2[C@@]1([H])CCC[C@@]2([H])OCCCC,1
84,"(1s,4r,9s)-5-(trifluoromethyl)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-9-amine",PNMT,True,False,[H][C@]12CC[C@]([H])(C3=C(C=CC=C13)C(F)(F)F)[C@@]2([H])N,1
85,"(1s,4s,5s)-1,4,5-trihydroxy-3-[3-(phenylthio)phenyl]cyclohex-2-ene-1-carboxylicAcid",AROQ,True,False,[H][C@@]1(O)C[C@@](O)(C=C(C2=CC=CC(SC3=CC=CC=C3)=C2)[C@@]1([H])O)C(O)=O,1
86,"(1s,5s,7r)-n~7~-(biphenyl-4-ylmethyl)-n~3~-hydroxy-6,8-dioxa-3-azabicyclo[3.2.1]octane-3,7-dicarboxamide",MMP12,True,False,[H][C@]12CN(C[C@]([H])(O1)[C@@]([H])(O2)C(=O)NCC1=CC=C(C=C1)C1=CC=CC=C1)C(=O)NO,1
87,"(1s,7s,8s,8ar)-1,2,3,7,8,8a-hexahydro-7-methyl-8-[2-[(2r,4r)-tetrahydro-4-hyDroxy-6-oxo-2h-pyran-2-yl]ethyl]-1-naphthalenol",CES1,True,False,[H][C@]1(O)CC(=O)O[C@@]([H])(CC[C@@]2([H])[C@@]([H])(C)C=CC3=CCC[C@]([H])(O)[C@]23[H])C1,1
88,(1z)-2-hydroxy-3-oxohex-1-en-1-ylDihydrogenPhosphate,MTNW,True,False,CCCC(=O)C(\O)=C\OP(O)(O)=O,1
89,(1z)-4-(4-fluorophenyl)-2-methylidenebutan-1-imine,MAOB,True,False,[H]N=C([H])C(=C)CCC1=CC=C(F)C=C1,1
90,"(2,2-diphosphonoethyl)(dodecyl)dimethylphosphonium",GGPS1,True,False,CCCCCCCCCCCC[P+](C)(C)CC(P(O)(O)=O)P(O)(O)=O,1
91,"(2,6-dimethylphenoxy)aceticAcid",GAG-POL,True,False,CC1=CC=CC(C)=C1OCC(O)=O,1
92,"(2-(2',6'-dimethoxy)phenoxyethylamino)methylbenzo-1,4-dioxane",ADRA1A,False,True,COC1=C(C(=CC=C1)OC)OCCNCC2COC3=CC=CC=C3O2,1
93,"(2-(2',6'-dimethoxy)phenoxyethylamino)methylbenzo-1,4-dioxane",HTR1A,False,True,COC1=C(C(=CC=C1)OC)OCCNCC2COC3=CC=CC=C3O2,1
94,"(2-amino-1,3-oxazol-5-yl)-(3-bromophenyl)methanone",ACCC,True,False,NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,1
95,(2-amino-3-phenyl-bicyclo[2.2.1]hept-2-yl)-phenyl-methanone,IGHG1,True,False,[H][C@]12CC[C@]([H])(C1)[C@](N)(C(=O)C1=CC=CC=C1)[C@]2([H])C1=CC=CC=C1,1
96,(2-bromoethyl)(2-'formyl-4'-aminophenyl)Acetate,CELA1,True,False,NC1=CC(C=O)=C(CC(=O)OCCBr)C=C1,1
97,(2-carbamoylmethyl-5-propyl-octahydro-indol-7-yl)aceticAcid,PLA2G2E,True,False,CCCC1=CC2=C(NC(CC(N)=O)=C2)C(CC(O)=O)=C1,1
98,(2-{[(4-bromo-2-fluorobenzyl)amino]carbonyl}-5-chlorophenoxy)aceticAcid,AKR1B1,True,False,OC(=O)COC1=CC(Cl)=CC=C1C(=O)NCC1=C(F)C=C(Br)C=C1,1
99,"(20s)-19,20,21,22-tetrahydro-19-oxo-5h-18,20-ethano-12,14-etheno-6,10-metheno-18h-benz[d]imidazo[4,3-k][1,6,9,12]oxatriaza-cyclooctadecosine-9-carbonitrile",FNTA,True,False,[H][C@@]12CCN(C1=O)C1=C3C=C(OC4=C(C=CC(CN5C=NC=C5CN2)=C4)C#N)C=CC3=CC=C1,1
100,"(20s)-19,20,21,22-tetrahydro-19-oxo-5h-18,20-ethano-12,14-etheno-6,10-metheno-18h-benz[d]imidazo[4,3-k][1,6,9,12]oxatriaza-cyclooctadecosine-9-carbonitrile",FNTB,True,False,[H][C@@]12CCN(C1=O)C1=C3C=C(OC4=C(C=CC(CN5C=NC=C5CN2)=C4)C#N)C=CC3=CC=C1,1
101,"(20s)-19,20,22,23-tetrahydro-19-oxo-5h,21h-18,20-ethano-12,14-etheno-6,10-methenobenz[d]imidazo[4,3-l][1,6,9,13]oxatriazacyclonoadecosine-9-carbonitrile",FNTA,True,False,[H][C@]12CCN(C1=O)C1=CC=CC3=C1C=C(OC1([H])CC(CN4C=NC=C4CCN2)=CC[C@]1([H])C#N)C=C3,1
102,"(20s)-19,20,22,23-tetrahydro-19-oxo-5h,21h-18,20-ethano-12,14-etheno-6,10-methenobenz[d]imidazo[4,3-l][1,6,9,13]oxatriazacyclonoadecosine-9-carbonitrile",FNTB,True,False,[H][C@]12CCN(C1=O)C1=CC=CC3=C1C=C(OC1([H])CC(CN4C=NC=C4CCN2)=CC[C@]1([H])C#N)C=C3,1
103,"(21s)-1aza-4,4-dimethyl-6,19-dioxa-2,3,7,20-tetraoxobicyclo[19.4.0]Pentacosane",FKBP1A,True,False,[H][C@@]12CCCCN1C(=O)C(=O)C(C)(C)COC(=O)CCCCCCCCCCCOC2=O,1
104,(2e)-1-[2-hydroxy-4-methoxy-5-(3-methylbut-2-en-1-yl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one,PLA2G2E,True,False,COC1=CC(O)=C(C=C1CC=C(C)C)C(=O)\C=C\C1=CC=C(O)C=C1,1
105,(2e)-2-({(2s)-2-carboxy-2-[(phenoxyacetyl)amino]ethoxy}imino)pentanedioicAcid,PBP1B,True,False,[H][C@@](CO\N=C(/CCC(O)=O)C(O)=O)(NC(=O)COC1=CC=CC=C1)C(O)=O,1
106,"(2e)-3-(2,4-dichlorophenyl)-n-hydroxyacrylamide",BONT/A,True,False,ONC(=O)\C=C\C1=CC=C(Cl)C=C1Cl,1
107,(2e)-3-(2-oct-1-yn-1-ylphenyl)acrylicAcid,ALOX15,True,False,CCCCCCC#CC1=CC=CC=C1\C=C\C(O)=O,1
108,"(2e)-3-(3,4-dihydroxyphenyl)-2-iminopropanoicAcid",DAO,True,False,[H]N=C(CC1=CC(O)=C(O)C=C1)C(O)=O,1
109,(2e)-3-(4-chlorophenyl)-n-hydroxyacrylamide,BONT/A,True,False,ONC(=O)\C=C\C1=CC=C(Cl)C=C1,1
