,compound,gene,db,ctd,SMILES,n_db
4298,5-chloro-n-{(3s)-1-[(2s)-1-(4-morpholinyl)-1-oxo-2-propanyl]-2-oxo-3-pyrrolidinyl}-1h-indole-2-sulfonamide,F10,True,False,C[C@H](N1CC[C@H](NS(=O)(=O)C2=CC3=C(N2)C=CC(Cl)=C3)C1=O)C(=O)N1CCOCC1,1
4299,"5-chloro-thiophene-2-carboxylicAcid((3s,4s)-1-{[2-fluoro-4-(2-oxo-2h-pyridin-1-yl)-phenylcarbamoyl]-methyl}-4-hydroxy-pyrrolidin-3-yl)-amide",F10,True,False,[H][C@]1(O)CN(CC(=O)NC2=C(F)C=C(C=C2)N2C=CC=CC2=O)C[C@]1([H])NC(=O)C1=CC=C(Cl)S1,1
4300,"5-chloro-thiophene-2-carboxylicAcid((3s,4s)-4-fluoro-1-{[2-fluoro-4-(2-oxo-2h-pyridin-1-yl)-phenylcarbamoyl]-methyl}-pyrrolidin-3-yl)-amide",F10,True,False,[H][C@]1(F)CN(CC(=O)NC2=CC=C(C=C2F)N2C=CC=CC2=O)C[C@]1([H])NC(=O)C1=CC=C(Cl)S1,1
4301,"5-chloryl-2,4,6-quinazolinetriamine",DFR1,True,False,NC1=C(C2=C(N)N=C(N)N=C2C=C1)[Cl](=O)=O,1
4302,"5-chloryl-2,4,6-quinazolinetriamine",DHFR2,True,False,NC1=C(C2=C(N)N=C(N)N=C2C=C1)[Cl](=O)=O,1
4303,5-cyano-furan-2-carboxylicAcid[5-hydroxymethyl-2-(4-methyl-piperidin-1-yl)-phenyl]-amide,CSF1R,True,False,CC1CCN(CC1)C1=CC=C(CO)C=C1NC(=O)C1=CC=C(O1)C#N,1
4304,"5-cyano-n-(2,5-dimethoxybenzyl)-6-ethoxypyridine-2-carboxamide",MAPK8,True,False,CCOC1=NC(=CC=C1C#N)C(=O)NCC1=CC(OC)=CC=C1OC,1
4305,"5-cyano-n-(2,5-dimethoxybenzyl)-6-ethoxypyridine-2-carboxamide",MAPK8IP1,True,False,CCOC1=NC(=CC=C1C#N)C(=O)NCC1=CC(OC)=CC=C1OC,1
4306,"5-ethoxy-4-(1-methyl-7-oxo-3-propyl-6,7-dihydro-1h-pyrazolo[4,3-d]pyrimidin-5-yl)thiophene-2-sulfonamide",PDE5A,True,False,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=C(OCC)SC(=C1)S(N)(=O)=O,1
4307,5-ethyl-3-[(2-methoxyethyl)methylamino]-6-methyl-4-(3-methylbenzyl)pyridin-2(1h)-one,GAG-POL,True,False,CCC1=C(C)NC(=O)C(N(C)CCOC)=C1CC1=CC=CC(C)=C1,1
4308,"5-ethyl-3-methyl-1,5-dihydro-4h-pyrazolo[4,3-c]quinolin-4-one",CHEK1,True,False,CCN1C(=O)C2=C(NN=C2C)C2=C1C=CC=C2,1
4309,5-exo-hydroxycamphor,CAMC,True,False,[H][C@@]1(O)C[C@@]2(C)C(=O)C[C@]1([H])C2(C)C,1
4310,5-f-adb-pinaca,CNR1,False,True,CC(C)(C)[C@@H](C(=O)N)NC(=O)C1=NN(C2=CC=CC=C21)CCCCCF,1
4311,5-f-adb-pinaca,CNR2,False,True,CC(C)(C)[C@@H](C(=O)N)NC(=O)C1=NN(C2=CC=CC=C21)CCCCCF,1
4312,"5-fluoro-1-[4-(4-phenyl-3,6-dihydropyridin-1(2h)-yl)butyl]quinazoline-2,4(1h,3h)-dione",PARP1,True,False,FC1=C2C(=O)NC(=O)N(CCCCN3CCC(=CC3)C3=CC=CC=C3)C2=CC=C1,1
4313,5-fluoro-2'-deoxyuridine-5'-monophosphate,THYA,True,False,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=C(F)C(=O)NC1=O,1
