,DrugBank ID,Name,Type,UniProt ID,UniProt Name,SMILES
139,DB00048,Collagenase clostridium histolyticum,BiotechDrug,P02458,Collagen alpha-1(II) chain,
140,DB00050,Cetrorelix,SmallMoleculeDrug,P22888,Lutropin-choriogonadotropic hormone receptor,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
141,DB00050,Cetrorelix,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
142,DB00051,Adalimumab,BiotechDrug,P01375,Tumor necrosis factor,
143,DB00052,Somatotropin,BiotechDrug,P10912,Growth hormone receptor,
144,DB00052,Somatotropin,BiotechDrug,P16471,Prolactin receptor,
145,DB00054,Abciximab,BiotechDrug,P05106,Integrin beta-3,
146,DB00054,Abciximab,BiotechDrug,P08514,Integrin alpha-IIb,
147,DB00054,Abciximab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,
148,DB00054,Abciximab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,
149,DB00054,Abciximab,BiotechDrug,P04004,Vitronectin,
150,DB00055,Drotrecogin alfa,BiotechDrug,P00451,Coagulation factor VIII,
151,DB00055,Drotrecogin alfa,BiotechDrug,P12259,Coagulation factor V,
152,DB00055,Drotrecogin alfa,BiotechDrug,P00734,Prothrombin,
153,DB00055,Drotrecogin alfa,BiotechDrug,P05121,Plasminogen activator inhibitor 1,
154,DB00055,Drotrecogin alfa,BiotechDrug,P07225,Vitamin K-dependent protein S,
155,DB00055,Drotrecogin alfa,BiotechDrug,P02776,Platelet factor 4,
156,DB00055,Drotrecogin alfa,BiotechDrug,P07204,Thrombomodulin,
157,DB00055,Drotrecogin alfa,BiotechDrug,Q9UNN8,Endothelial protein C receptor,
158,DB00055,Drotrecogin alfa,BiotechDrug,P05154,Plasma serine protease inhibitor,
159,DB00055,Drotrecogin alfa,BiotechDrug,P35237,Serpin B6,
160,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P20138,Myeloid cell surface antigen CD33,
161,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,
162,DB00056,Gemtuzumab ozogamicin,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,
163,DB00056,Gemtuzumab ozogamicin,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,
164,DB00058,Alpha-1-proteinase inhibitor,BiotechDrug,P08246,Neutrophil elastase,
165,DB00060,Interferon beta-1a,BiotechDrug,P17181,Interferon alpha/beta receptor 1,
166,DB00060,Interferon beta-1a,BiotechDrug,P48551,Interferon alpha/beta receptor 2,
167,DB00061,Pegademase,BiotechDrug,P62993,Growth factor receptor-bound protein 2,
168,DB00063,Eptifibatide,BiotechDrug,P05106,Integrin beta-3,
169,DB00065,Infliximab,BiotechDrug,P01375,Tumor necrosis factor,
170,DB00066,Follitropin,BiotechDrug,P23945,Follicle-stimulating hormone receptor,
171,DB00067,Vasopressin,SmallMoleculeDrug,P30518,Vasopressin V2 receptor,
172,DB00067,Vasopressin,SmallMoleculeDrug,P37288,Vasopressin V1a receptor,
173,DB00067,Vasopressin,SmallMoleculeDrug,P47901,Vasopressin V1b receptor,
174,DB00068,Interferon beta-1b,BiotechDrug,P48551,Interferon alpha/beta receptor 2,
175,DB00068,Interferon beta-1b,BiotechDrug,P17181,Interferon alpha/beta receptor 1,
176,DB00069,Interferon alfacon-1,BiotechDrug,P48551,Interferon alpha/beta receptor 2,
177,DB00069,Interferon alfacon-1,BiotechDrug,P17181,Interferon alpha/beta receptor 1,
178,DB00070,Hyaluronidase (ovine),BiotechDrug,P01137,Transforming growth factor beta-1,
179,DB00071,Insulin pork,BiotechDrug,P06213,Insulin receptor,
180,DB00071,Insulin pork,BiotechDrug,P08069,Insulin-like growth factor 1 receptor,
181,DB00071,Insulin pork,BiotechDrug,P14735,Insulin-degrading enzyme,
182,DB00071,Insulin pork,BiotechDrug,P01906,"HLA class II histocompatibility antigen, DQ alpha 2 chain",
183,DB00071,Insulin pork,BiotechDrug,P01920,"HLA class II histocompatibility antigen, DQ beta 1 chain",
184,DB00071,Insulin pork,BiotechDrug,P06400,Retinoblastoma-associated protein,
185,DB00071,Insulin pork,BiotechDrug,P07339,Cathepsin D,
186,DB00071,Insulin pork,BiotechDrug,P16870,Carboxypeptidase E,
187,DB00071,Insulin pork,BiotechDrug,P16519,Neuroendocrine convertase 2,
188,DB00071,Insulin pork,BiotechDrug,P29120,Neuroendocrine convertase 1,
189,DB00071,Insulin pork,BiotechDrug,P48745,Protein NOV homolog,
190,DB00071,Insulin pork,BiotechDrug,P98164,Low-density lipoprotein receptor-related protein 2,
191,DB00071,Insulin pork,BiotechDrug,Q16270,Insulin-like growth factor-binding protein 7,
192,DB00071,Insulin pork,BiotechDrug,Q96C24,Synaptotagmin-like protein 4,
193,DB00072,Trastuzumab,BiotechDrug,P04626,Receptor tyrosine-protein kinase erbB-2,
194,DB00073,Rituximab,BiotechDrug,P11836,B-lymphocyte antigen CD20,
195,DB00074,Basiliximab,BiotechDrug,P01589,Interleukin-2 receptor subunit alpha,
196,DB00074,Basiliximab,BiotechDrug,P14784,Interleukin-2 receptor subunit beta,
197,DB00075,Muromonab,BiotechDrug,P04234,T-cell surface glycoprotein CD3 delta chain,
198,DB00075,Muromonab,BiotechDrug,P07766,T-cell surface glycoprotein CD3 epsilon chain,
199,DB00075,Muromonab,BiotechDrug,P09693,T-cell surface glycoprotein CD3 gamma chain,
200,DB00075,Muromonab,BiotechDrug,P20963,T-cell surface glycoprotein CD3 zeta chain,
201,DB00075,Muromonab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,
202,DB00078,Ibritumomab tiuxetan,BiotechDrug,P11836,B-lymphocyte antigen CD20,
203,DB00081,Tositumomab,BiotechDrug,P11836,B-lymphocyte antigen CD20,
204,DB00081,Tositumomab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,
205,DB00082,Pegvisomant,BiotechDrug,P10912,Growth hormone receptor,
206,DB00083,Botulinum toxin type A,BiotechDrug,P60880,Synaptosomal-associated protein 25,
207,DB00083,Botulinum toxin type A,BiotechDrug,P62745,Rho-related GTP-binding protein RhoB,
208,DB00086,Streptokinase,BiotechDrug,P00747,Plasminogen,
209,DB00086,Streptokinase,BiotechDrug,P25116,Proteinase-activated receptor 1,
210,DB00087,Alemtuzumab,BiotechDrug,P31358,CAMPATH-1 antigen,
211,DB00087,Alemtuzumab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,
212,DB00087,Alemtuzumab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,
213,DB00087,Alemtuzumab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I,
214,DB00087,Alemtuzumab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,
215,DB00087,Alemtuzumab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,
216,DB00087,Alemtuzumab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,
217,DB00089,Capromab pendetide,BiotechDrug,Q04609,Glutamate carboxypeptidase 2,
218,DB00091,Cyclosporine,SmallMoleculeDrug,P49069,Calcium signal-modulating cyclophilin ligand,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
219,DB00091,Cyclosporine,SmallMoleculeDrug,Q96LZ3,Calcineurin subunit B type 2,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
220,DB00091,Cyclosporine,SmallMoleculeDrug,P62937,Peptidyl-prolyl cis-trans isomerase A,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
221,DB00091,Cyclosporine,SmallMoleculeDrug,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
222,DB00092,Alefacept,BiotechDrug,P06729,T-cell surface antigen CD2,
223,DB00092,Alefacept,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,
224,DB00092,Alefacept,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,
225,DB00093,Felypressin,SmallMoleculeDrug,P37288,Vasopressin V1a receptor,
226,DB00094,Urofollitropin,BiotechDrug,P23945,Follicle-stimulating hormone receptor,
227,DB00095,Efalizumab,BiotechDrug,P20701,Integrin alpha-L,
228,DB00095,Efalizumab,BiotechDrug,P20702,Integrin alpha-X,
229,DB00097,Choriogonadotropin alfa,BiotechDrug,P22888,Lutropin-choriogonadotropic hormone receptor,
230,DB00097,Choriogonadotropin alfa,BiotechDrug,P23945,Follicle-stimulating hormone receptor,
231,DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P06126,T-cell surface glycoprotein CD1a,
232,DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,Q95460,Major histocompatibility complex class I-related gene protein,
233,DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P20701,Integrin alpha-L,
234,DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P42081,T-lymphocyte activation antigen CD86,
235,DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,
236,DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P01730,T-cell surface glycoprotein CD4,
237,DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P05556,Integrin beta-1,
238,DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P06756,Integrin alpha-V,
239,DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P05106,Integrin beta-3,
240,DB00099,Filgrastim,BiotechDrug,P08246,Neutrophil elastase,
