,DrugBank ID,Name,Type,UniProt ID,UniProt Name,SMILES
2543,DB00421,Spironolactone,SmallMoleculeDrug,Q9UBN1,Voltage-dependent calcium channel gamma-4 subunit,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2544,DB00421,Spironolactone,SmallMoleculeDrug,Q9UF02,Voltage-dependent calcium channel gamma-5 subunit,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2545,DB00421,Spironolactone,SmallMoleculeDrug,Q9BXT2,Voltage-dependent calcium channel gamma-6 subunit,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2546,DB00421,Spironolactone,SmallMoleculeDrug,P62955,Voltage-dependent calcium channel gamma-7 subunit,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2547,DB00421,Spironolactone,SmallMoleculeDrug,Q8WXS5,Voltage-dependent calcium channel gamma-8 subunit,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2548,DB00421,Spironolactone,SmallMoleculeDrug,P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2549,DB00421,Spironolactone,SmallMoleculeDrug,Q9NY47,Voltage-dependent calcium channel subunit alpha-2/delta-2,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2550,DB00421,Spironolactone,SmallMoleculeDrug,Q8IZS8,Voltage-dependent calcium channel subunit alpha-2/delta-3,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2551,DB00421,Spironolactone,SmallMoleculeDrug,Q7Z3S7,Voltage-dependent calcium channel subunit alpha-2/delta-4,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2552,DB00421,Spironolactone,SmallMoleculeDrug,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2553,DB00421,Spironolactone,SmallMoleculeDrug,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2554,DB00421,Spironolactone,SmallMoleculeDrug,O60840,Voltage-dependent L-type calcium channel subunit alpha-1F,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2555,DB00421,Spironolactone,SmallMoleculeDrug,Q13698,Voltage-dependent L-type calcium channel subunit alpha-1S,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2556,DB00421,Spironolactone,SmallMoleculeDrug,Q02641,Voltage-dependent L-type calcium channel subunit beta-1,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2557,DB00421,Spironolactone,SmallMoleculeDrug,Q08289,Voltage-dependent L-type calcium channel subunit beta-2,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2558,DB00421,Spironolactone,SmallMoleculeDrug,P54284,Voltage-dependent L-type calcium channel subunit beta-3,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2559,DB00421,Spironolactone,SmallMoleculeDrug,O00305,Voltage-dependent L-type calcium channel subunit beta-4,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2560,DB00421,Spironolactone,SmallMoleculeDrug,Q00975,Voltage-dependent N-type calcium channel subunit alpha-1B,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2561,DB00421,Spironolactone,SmallMoleculeDrug,O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2562,DB00421,Spironolactone,SmallMoleculeDrug,Q15878,Voltage-dependent R-type calcium channel subunit alpha-1E,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2563,DB00421,Spironolactone,SmallMoleculeDrug,O43497,Voltage-dependent T-type calcium channel subunit alpha-1G,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2564,DB00421,Spironolactone,SmallMoleculeDrug,O95180,Voltage-dependent T-type calcium channel subunit alpha-1H,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2565,DB00421,Spironolactone,SmallMoleculeDrug,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2566,DB00421,Spironolactone,SmallMoleculeDrug,O75469,Nuclear receptor subfamily 1 group I member 2,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
2567,DB00422,Methylphenidate,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter,COC(=O)C(C1CCCCN1)C1=CC=CC=C1
2568,DB00422,Methylphenidate,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter,COC(=O)C(C1CCCCN1)C1=CC=CC=C1
2569,DB00422,Methylphenidate,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A,COC(=O)C(C1CCCCN1)C1=CC=CC=C1
2570,DB00423,Methocarbamol,SmallMoleculeDrug,P00915,Carbonic anhydrase 1,COC1=C(OCC(O)COC(N)=O)C=CC=C1
2571,DB00424,Hyoscyamine,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1
2572,DB00424,Hyoscyamine,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1
2573,DB00424,Hyoscyamine,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1
2574,DB00424,Hyoscyamine,SmallMoleculeDrug,P08173,Muscarinic acetylcholine receptor M4,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1
2575,DB00425,Zolpidem,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
2576,DB00425,Zolpidem,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
2577,DB00425,Zolpidem,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
2578,DB00425,Zolpidem,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
2579,DB00426,Famciclovir,SmallMoleculeDrug,P04293,DNA polymerase catalytic subunit,CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O
2580,DB00427,Triprolidine,SmallMoleculeDrug,P35367,Histamine H1 receptor,CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1
2581,DB00428,Streptozocin,SmallMoleculeDrug,P11168,"Solute carrier family 2, facilitated glucose transporter member 2",CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO
2582,DB00428,Streptozocin,SmallMoleculeDrug,Q89ZI2,O-GlcNAcase BT_4395,CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO
2583,DB00428,Streptozocin,SmallMoleculeDrug,O60502,Protein O-GlcNAcase,CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO
2584,DB00429,Carboprost tromethamine,SmallMoleculeDrug,P34995,Prostaglandin E2 receptor EP1 subtype,NC(CO)(CO)CO.CCCCC[C@](C)(O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O
2585,DB00430,Cefpiramide,SmallMoleculeDrug,P0AD68,Peptidoglycan synthase FtsI,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O
2586,DB00430,Cefpiramide,SmallMoleculeDrug,P02919,Penicillin-binding protein 1B,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O
2587,DB00430,Cefpiramide,SmallMoleculeDrug,Q07806,Penicillin-binding protein 1A,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O
2589,DB00430,Cefpiramide,SmallMoleculeDrug,P08506,D-alanyl-D-alanine carboxypeptidase DacC,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O
2591,DB00430,Cefpiramide,SmallMoleculeDrug,C1KC03,Penicillin binding protein 2a,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O
2592,DB00431,Lindane,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2593,DB00431,Lindane,SmallMoleculeDrug,P23415,Glycine receptor subunit alpha-1,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2594,DB00431,Lindane,SmallMoleculeDrug,P23416,Glycine receptor subunit alpha-2,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2595,DB00431,Lindane,SmallMoleculeDrug,O75311,Glycine receptor subunit alpha-3,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2596,DB00431,Lindane,SmallMoleculeDrug,P48167,Glycine receptor subunit beta,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2597,DB00431,Lindane,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2598,DB00431,Lindane,SmallMoleculeDrug,P24046,Gamma-aminobutyric acid receptor subunit rho-1,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2599,DB00431,Lindane,SmallMoleculeDrug,P06401,Progesterone receptor,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2600,DB00431,Lindane,SmallMoleculeDrug,P03372,Estrogen receptor,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2601,DB00431,Lindane,SmallMoleculeDrug,O75469,Nuclear receptor subfamily 1 group I member 2,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2602,DB00432,Trifluridine,SmallMoleculeDrug,P04818,Thymidylate synthase,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F
2603,DB00433,Prochlorperazine,SmallMoleculeDrug,P14416,D(2) dopamine receptor,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
2604,DB00433,Prochlorperazine,SmallMoleculeDrug,P35367,Histamine H1 receptor,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
2605,DB00433,Prochlorperazine,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
2606,DB00433,Prochlorperazine,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
2607,DB00433,Prochlorperazine,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
2608,DB00433,Prochlorperazine,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
2609,DB00433,Prochlorperazine,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
2610,DB00433,Prochlorperazine,SmallMoleculeDrug,P18825,Alpha-2C adrenergic receptor,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
2611,DB00434,Cyproheptadine,SmallMoleculeDrug,P35367,Histamine H1 receptor,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
2612,DB00434,Cyproheptadine,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
2613,DB00434,Cyproheptadine,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
2614,DB00434,Cyproheptadine,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
2615,DB00434,Cyproheptadine,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
2616,DB00434,Cyproheptadine,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
2617,DB00434,Cyproheptadine,SmallMoleculeDrug,P34969,5-hydroxytryptamine receptor 7,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
2618,DB00435,Nitric Oxide,SmallMoleculeDrug,P33402,Guanylate cyclase soluble subunit alpha-2,[N]=O
2619,DB00435,Nitric Oxide,SmallMoleculeDrug,P04731,Metallothionein-1A,[N]=O
2620,DB00435,Nitric Oxide,SmallMoleculeDrug,P14902,"Indoleamine 2,3-dioxygenase 1",[N]=O
2621,DB00436,Bendroflumethiazide,SmallMoleculeDrug,P55017,Solute carrier family 12 member 3,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
2622,DB00436,Bendroflumethiazide,SmallMoleculeDrug,Q12791,Calcium-activated potassium channel subunit alpha-1,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
2623,DB00436,Bendroflumethiazide,SmallMoleculeDrug,P00915,Carbonic anhydrase 1,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
2624,DB00436,Bendroflumethiazide,SmallMoleculeDrug,P00918,Carbonic anhydrase 2,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
2625,DB00436,Bendroflumethiazide,SmallMoleculeDrug,P22748,Carbonic anhydrase 4,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
2626,DB00437,Allopurinol,SmallMoleculeDrug,P47989,Xanthine dehydrogenase/oxidase,OC1=NC=NC2=C1C=NN2
2627,DB00438,Ceftazidime,SmallMoleculeDrug,P0AD68,Peptidoglycan synthase FtsI,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
2628,DB00438,Ceftazidime,SmallMoleculeDrug,Q75Y35,Penicillin-binding protein 3,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
2629,DB00438,Ceftazidime,SmallMoleculeDrug,P02918,Penicillin-binding protein 1A,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
2631,DB00438,Ceftazidime,SmallMoleculeDrug,P02919,Penicillin-binding protein 1B,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
2633,DB00438,Ceftazidime,SmallMoleculeDrug,Q9X6V3,Penicillin-binding protein 2,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
2635,DB00438,Ceftazidime,SmallMoleculeDrug,P72161,D-alanyl-D-alanine endopeptidase,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1
2636,DB00439,Cerivastatin,SmallMoleculeDrug,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C
2637,DB00440,Trimethoprim,SmallMoleculeDrug,P0ABQ4,Dihydrofolate reductase,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC
2638,DB00441,Gemcitabine,SmallMoleculeDrug,P23921,Ribonucleoside-diphosphate reductase large subunit,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
2639,DB00441,Gemcitabine,SmallMoleculeDrug,P04818,Thymidylate synthase,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
2640,DB00441,Gemcitabine,SmallMoleculeDrug,P30085,UMP-CMP kinase,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
2641,DB00443,Betamethasone,SmallMoleculeDrug,P04150,Glucocorticoid receptor,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
2642,DB00444,Teniposide,SmallMoleculeDrug,P11388,DNA topoisomerase 2-alpha,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=C(C=C3OCOC3=C1)[C@H]2O[C@]1([H])O[C@]2([H])CO[C@H](O[C@@]2([H])[C@H](O)[C@H]1O)C1=CC=CS1
2643,DB00445,Epirubicin,SmallMoleculeDrug,P11388,DNA topoisomerase 2-alpha,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
2644,DB00446,Chloramphenicol,SmallMoleculeDrug,P0ADY7,50S ribosomal protein L16,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O
2645,DB00446,Chloramphenicol,SmallMoleculeDrug,P24093,Dr hemagglutinin structural subunit,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O
2646,DB00446,Chloramphenicol,SmallMoleculeDrug,P08174,Complement decay-accelerating factor,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O
2647,DB00447,Loracarbef,SmallMoleculeDrug,Q75Y35,Penicillin-binding protein 3,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1
2648,DB00447,Loracarbef,SmallMoleculeDrug,Q8XJ01,Penicillin-binding protein 1A,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1
2649,DB00448,Lansoprazole,SmallMoleculeDrug,P20648,Potassium-transporting ATPase alpha chain 1,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1
2650,DB00448,Lansoprazole,SmallMoleculeDrug,P10636,Microtubule-associated protein tau,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1
2651,DB00449,Dipivefrin,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1
2652,DB00449,Dipivefrin,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor,CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1
2653,DB00449,Dipivefrin,SmallMoleculeDrug,P07550,Beta-2 adrenergic receptor,CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1
2654,DB00449,Dipivefrin,SmallMoleculeDrug,P06276,Cholinesterase,CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1
2655,DB00449,Dipivefrin,SmallMoleculeDrug,P22303,Acetylcholinesterase,CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1
2656,DB00450,Droperidol,SmallMoleculeDrug,P14416,D(2) dopamine receptor,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12
2657,DB00450,Droperidol,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12
2658,DB00451,Levothyroxine,SmallMoleculeDrug,P10828,Thyroid hormone receptor beta,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
2659,DB00451,Levothyroxine,SmallMoleculeDrug,P10827,Thyroid hormone receptor alpha,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
2660,DB00451,Levothyroxine,SmallMoleculeDrug,P06756,Integrin alpha-V,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
2661,DB00451,Levothyroxine,SmallMoleculeDrug,P05106,Integrin beta-3,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
2662,DB00452,Framycetin,SmallMoleculeDrug,P0A7S3,30S ribosomal protein S12,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
2663,DB00452,Framycetin,SmallMoleculeDrug,P61073,C-X-C chemokine receptor type 4,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
2664,DB00453,Clomocycline,SmallMoleculeDrug,P0A7V8,30S ribosomal protein S4,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(=O)NCO)=C(O)[C@H]2N(C)C)C(=O)C1=C(C(Cl)=CC=C1O)[C@@]3(C)O
2665,DB00453,Clomocycline,SmallMoleculeDrug,P0A7X3,30S ribosomal protein S9,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(=O)NCO)=C(O)[C@H]2N(C)C)C(=O)C1=C(C(Cl)=CC=C1O)[C@@]3(C)O
2666,DB00454,Meperidine,SmallMoleculeDrug,P41145,Kappa-type opioid receptor,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1
2667,DB00454,Meperidine,SmallMoleculeDrug,Q05586,"Glutamate receptor ionotropic, NMDA 1",CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1
2668,DB00454,Meperidine,SmallMoleculeDrug,Q13224,"Glutamate receptor ionotropic, NMDA 2B",CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1
